                   0             1            2           3          4                 5           6                  7
0   ﻿Date_reported  Country_code      Country  WHO_region  New_cases  Cumulative_cases  New_deaths  Cumulative_deaths
1           1/1/2021            AF  Afghanistan        EMRO        183             52513          12               2201
2           1/2/2021            AF  Afghanistan        EMRO         73             52586          10               2211
3           1/3/2021            AF  Afghanistan        EMRO        123             52709          10               2221
4           1/4/2021            AF  Afghanistan        EMRO        200             52909           9               2230
5           1/5/2021            AF  Afghanistan        EMRO        102             53011           7               2237
6           1/6/2021            AF  Afghanistan        EMRO         94             53105           7               2244
7           1/7/2021            AF  Afghanistan        EMRO        102             53207           9               2253
8           1/8/2021            AF  Afghanistan        EMRO        125             53332           4               2257
9           1/9/2021            AF  Afghanistan        EMRO         68             53400           7               2264
10         1/10/2021            AF  Afghanistan        EMRO         89             53489          13               2277
11         1/11/2021            AF  Afghanistan        EMRO         49             53538          11               2288
12         1/12/2021            AF  Afghanistan        EMRO         46             53584          13               2301
13         1/13/2021            AF  Afghanistan        EMRO        106             53690           7               2308
14         1/14/2021            AF  Afghanistan        EMRO         85             53775           6               2314
15         1/15/2021            AF  Afghanistan        EMRO         56             53831          10               2324
16         1/16/2021            AF  Afghanistan        EMRO        107             53938          12               2336
17         1/17/2021            AF  Afghanistan        EMRO         46             53984           3               2339
18         1/18/2021            AF  Afghanistan        EMRO         78             54062           4               2343
19         1/19/2021            AF  Afghanistan        EMRO         79             54141           3               2346
20         1/20/2021            AF  Afghanistan        EMRO        137             54278           8               2354
21         1/21/2021            AF  Afghanistan        EMRO        125             54403           9               2363
22         1/22/2021            AF  Afghanistan        EMRO         80             54483           7               2370
23         1/23/2021            AF  Afghanistan        EMRO         76             54559           3               2373
24         1/24/2021            AF  Afghanistan        EMRO         36             54595           5               2378
25         1/25/2021            AF  Afghanistan        EMRO         77             54672           7               2385
26         1/26/2021            AF  Afghanistan        EMRO         78             54750           4               2389
27         1/27/2021            AF  Afghanistan        EMRO        104             54854           0               2389
28         1/28/2021            AF  Afghanistan        EMRO         37             54891           8               2397
29         1/29/2021            AF  Afghanistan        EMRO         48             54939           2               2399
30         1/30/2021            AF  Afghanistan        EMRO         69             55008           1               2400
                0             1            2           3          4                 5           6                  7
0   Date_reported  Country_code      Country  WHO_region  New_cases  Cumulative_cases  New_deaths  Cumulative_deaths
1        1/1/2021            AF  Afghanistan        EMRO        183             52513          12               2201
2        1/2/2021            AF  Afghanistan        EMRO         73             52586          10               2211
3        1/3/2021            AF  Afghanistan        EMRO        123             52709          10               2221
4        1/4/2021            AF  Afghanistan        EMRO        200             52909           9               2230
5        1/5/2021            AF  Afghanistan        EMRO        102             53011           7               2237
6        1/6/2021            AF  Afghanistan        EMRO         94             53105           7               2244
7        1/7/2021            AF  Afghanistan        EMRO        102             53207           9               2253
8        1/8/2021            AF  Afghanistan        EMRO        125             53332           4               2257
9        1/9/2021            AF  Afghanistan        EMRO         68             53400           7               2264
10      1/10/2021            AF  Afghanistan        EMRO         89             53489          13               2277
11      1/11/2021            AF  Afghanistan        EMRO         49             53538          11               2288
12      1/12/2021            AF  Afghanistan        EMRO         46             53584          13               2301
13      1/13/2021            AF  Afghanistan        EMRO        106             53690           7               2308
14      1/14/2021            AF  Afghanistan        EMRO         85             53775           6               2314
15      1/15/2021            AF  Afghanistan        EMRO         56             53831          10               2324
16      1/16/2021            AF  Afghanistan        EMRO        107             53938          12               2336
17      1/17/2021            AF  Afghanistan        EMRO         46             53984           3               2339
18      1/18/2021            AF  Afghanistan        EMRO         78             54062           4               2343
19      1/19/2021            AF  Afghanistan        EMRO         79             54141           3               2346
20      1/20/2021            AF  Afghanistan        EMRO        137             54278           8               2354
21      1/21/2021            AF  Afghanistan        EMRO        125             54403           9               2363
22      1/22/2021            AF  Afghanistan        EMRO         80             54483           7               2370
23      1/23/2021            AF  Afghanistan        EMRO         76             54559           3               2373
24      1/24/2021            AF  Afghanistan        EMRO         36             54595           5               2378
25      1/25/2021            AF  Afghanistan        EMRO         77             54672           7               2385
26      1/26/2021            AF  Afghanistan        EMRO         78             54750           4               2389
27      1/27/2021            AF  Afghanistan        EMRO        104             54854           0               2389
28      1/28/2021            AF  Afghanistan        EMRO         37             54891           8               2397
29      1/29/2021            AF  Afghanistan        EMRO         48             54939           2               2399
30      1/30/2021            AF  Afghanistan        EMRO         69             55008           1               2400
                   0             1            2           3          4                 5           6                  7
0      Date_reported  Country_code      Country  WHO_region  New_cases  Cumulative_cases  New_deaths  Cumulative_deaths
1           1/1/2021            AF  Afghanistan        EMRO        183             52513          12               2201
2           1/2/2021            AF  Afghanistan        EMRO         73             52586          10               2211
3           1/3/2021            AF  Afghanistan        EMRO        123             52709          10               2221
4           1/4/2021            AF  Afghanistan        EMRO        200             52909           9               2230
...              ...           ...          ...         ...        ...               ...         ...                ...
86501     12/27/2021            ZW     Zimbabwe        AFRO        605            204351           6               4891
86502     12/28/2021            ZW     Zimbabwe        AFRO       1098            205449          17               4908
86503     12/29/2021            ZW     Zimbabwe        AFRO       2099            207548          32               4940
86504     12/30/2021            ZW     Zimbabwe        AFRO       2107            209655          27               4967
86505     12/31/2021            ZW     Zimbabwe        AFRO       2073            211728          30               4997

[86506 rows x 8 columns]
